name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Johannis Orci Comen	2510	3/August	14/Februar	568	[Como] D.$A.S. haben einen Joh. ep. Comen, (saec. VII.) zum 2. October und Joh. III. ep. Comen, (+ post 650) zum 20. October (G. kennt nur 2 ältere Joh. ep. Comen.).	Joannis	episcopi,episcoporum	
Johannis de Husseto reclusi	2511	3/August	14/Februar	1609	[Paris, Mont Valerien] D.	Joannis	virginis,virginum_or_(vor_Namen)_venerabilis	
Johannis plebani et Leonis Bembi	2512	9/August	14/Februar	NA	NA	Joannis	beati,beate	
Johannis Firmani ord. fr. min. in Monte Alverno	2513	9/August	14/Februar	1322	[Florenz] A.S.	Joannis	beati,beate	
Johannis Salernitani ord. predic	2514	9/August	14/Februar	NA	NA	Joannis	confessoris	
Johannis Montis Marani	2515	17/August	14/Februar	ca. 1100	[Monte Marano, Patron] A.S.	Joannis	episcopi,episcoporum	
Johannis et Crispi	2516	18/August	14/Februar	NA	NA	Joannis	presbyteri$martiris,martirum	
Johannis (6)	2517	25/August	14/Februar	NA	NA	Joannis	eremite	
Johannis a Caramola ord. Cisterc. in rnonast. Marie de Sagittario	2518	26/August	14/Februar	1339	[Anglona-Tursi] A.S.	Joannis	sancti,sancte$confessoris$beati,beate	
Johannis Bassandi, ord. Celestinorum in monast. Collismadien	2519	26/August	14/Februar	1455	[Aquila] A.S.	Joannis	beati,beate	
Johannis Ticinen	2520	27/August	14/Februar	NA	NA	Joannis	episcopi,episcoporum	
Johannis Manetti ord. servorum Marie	2521	27/August	14/Februar$20/August	1268	[Florenz, Monte Senario] A.S. (D.:  August 20 , identificirt mit Bonajuncta (s. diesen).	Joannis	confessoris$beati,beate	
Johannis (de Perusia) et Petri (de Saxoferrato) laici ord. fr. min	2522	29/August	1/September$14/Februar	1231	[Valencia] A.S. (D.:  September 1 ) .	Joannis	presbyteri$beati,beate	
Johannis (Laudensis) Eugubini ord. Ben	2523	7/September	14/Februar	1106	[Gubbio] A.S.	Joannis	episcopi,episcoporum$confessoris$sancti,sancte	
Johannis Salernitani ord. predic, (saec. XIII.)	2524	10/September	14/Februar	NA	NA	Joannis	confessoris$beati,beate	
Johannis Michaelis Andegaven	2525	12/September	14/Februar	1447	[Angers] D., G.	Joannis	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Johannis Spoletani	2526	19/September	14/Februar	NA	NA	Joannis	martiris,martirum$episcopi,episcoporum	
Johannis Prandothe Cracovien	2527	21/September	14/Februar	1266	[Krakau] A.S. (G.: + 20. IX.).	Joannis	episcopi,episcoporum$beati,beate	
Johannis de Meda fund. ord. humiliatorum	2528	26/September	14/Februar	1159	[Como] D., [Mailand] A.S.	Joannis	presbyteri	
Johannis (7)	2529	28/September	14/Februar	NA	NA	Joannis	martiris,martirum	
Johannis de Monte Mirabili ord. Cisterc	2530	29/September	14/Februar	1217	[Soissons, Longpont] A.S.	Joannis	beati,beate	
Johannis de Ganda	2531	29/September	14/Februar	1419	[Troyes] D.	Joannis	eremite$beati,beate	
Johannis de Dukla ord. fratr. min	2532	29/September	14/Februar	NA	NA	Joannis	confessoris$beati,beate	
Johannis Lobedavii ord. Franc	2533	9/October	14/Februar	1264	[Culmsee] A.S.	Joannis	sancti,sancte$beati,beate	
Johannis Cameracen	2534	14/October	14/Februar	NA	NA	Joannis	episcopi,episcoporum	
Johannis Cantii	2535	20/October	14/Februar$24/December	1473	[Krakau] A.S., D.$Obitus  December 24 :  [Krakau] D.	Joannis	presbyteri	
Johannis Boni ord. Augustini	2536	22/October	23/October$14/Februar$23/November	1249	[Mantua] A.S. (D.:  October 23  u.  November 23 ) .	Joannis	sancti,sancte$eremite$beati,beate	
Johannis Syracusani ord. Ben	2537	23/October	14/Februar	NA	NA	Joannis	episcopi,episcoporum$confessoris$sancti,sancte	
Johannis de Capistrano	2538	23/October	14/Februar	NA	NA	Joannis	NA	
Johannis Angeli Porri ord. serv. Marie	2539	24/October	14/Februar	1506	[Mailand] A.S.	Joannis	presbyteri$beati,beate	
Johannis Chisii laici ord. August	2540	28/October	14/Februar	1363	[Siena] A.S.	Joannis	sancti,sancte$eremite$beati,beate	
Johannis Hagulstaden	2541	29/October	14/Februar	NA	NA	Joannis	episcopi,episcoporum$confessoris	
Johannis Megapolitani	2542	10/November	14/Februar	1065	[Schwerin] D.	Joannis	martiris,martirum$episcopi,episcoporum$beati,beate	
Johannis Licci ord. predic	2543	14/November	14/Februar	NA	NA	Joannis	confessoris$beati,beate	
Johannis comitis	2544	15/November	14/Februar	1638	[Paris, Mont Valérien] D.	Joannis	virginis,virginum_or_(vor_Namen)_venerabilis$solitarii	
Johannis (IV.) Ravennatis deinde	2545	21/November	14/Februar	NA	NA	Joannis	episcopi,episcoporum$solitarii	
Johannis a Cruce	2546	14/December	5/März$14/Februar$24/November	1591	[Segovia], [Unbeschuhte Carmeliter] D.$Depositio  März 5 :  [Neapel] D.$Im heut. Cal. Rom.  November 24 .	Joannis	martiris,martirum	
Johannis et Festi	2547	21/December	14/Februar	NA	NA	Barducci et Johannis$Joannis$Cyri et Johannis	martiris,martirum	
Johevii (Joave, Jovini) S. Pauli Leonen	2548	2/März	14/Februar	NA	NA	Joave$Jovini	episcopi,episcoporum	
Jolane	2549	17/Januar	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Jolendis	2550	22/Mai	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Jolendis filie comitis Vianen	2551	17/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Joli	2552	9/Juni	NA	ca. 1315	[Spoleto, Sellano] A.S.	NA	eremite$beati,beate	
Jonati Marcianen	2553	1/August	NA	NA	NA	NA	abbatis	
Jonii	2554	5/August	NA	NA	NA	NA	presbyteri$martiris,martirum	
Jorani	2555	28/Mai	NA	NA	NA	NA	confessoris	
Jordani de Saxonia gener, ord. Predic	2556	13/Februar	13/März	1237	[Dominicaner] A.S. (D. auch  März 13 ) .	NA	beati,beate	
Jordani ord. Predic	2557	6/März	NA	NA	NA	NA	confessoris$beati,beate	
Jordani Forzatis ord. Ben	2558	7/August	NA	ca. 1240	[Padua] A.S.	NA	monachi$sancti,sancte$beati,beate	
Jordani Pulsanen. (saec. XII.)	2559	5/September	NA	NA	NA	NA	abbatis$confessoris$beati,beate	
Jorii	2560	26/Juli	NA	1033	[Arras, Bethune] A.S.	NA	episcopi,episcoporum$confessoris$beati,beate	
Josberti Dolen	2561	29/November	NA	1187	[Bourges, Bourgdieu] D.	NA	monachi$beati,beate	
Joscionis Bertini	2562	30/November	NA	1163	[Tournai, S. Bertin] D. |123|	NA	monachi$sancti,sancte	
Josephi nutricii (nutritoris) domini, (sponsi Marie, viri Marie)	2563	19/März	NA	NA	NA	NA	confessoris	
Josephi Marie Thome	2564	24/März	NA	NA	NA	NA	presbyteri$beati,beate	
Josephi justi, qui et Barsabas	2565	20/Juli	14/Februar	NA	NA	Barsabe	NA	
Josephi Calasanctii fundatoris congreg. clericorum regular, scolarum piarum	2566	27/August	NA	1649	[Rom] D.	NA	NA	
Josephi a Cupertino ord. minor	2567	18/September	NA	1663	[Osimo] A.S.	NA	presbyteri$beati,beate	
Jovini	2568	1/Juni	NA	NA	NA	NA	eremite	
Jovini (2)	2569	3/October	NA	NA	NA	NA	confessoris$eremite	
Joviniani lectoris	2570	5/Mai	NA	NA	NA	NA	martiris,martirum	
Yrchardi	2571	23/August	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Irene Castuli	2572	22/Januar	14/Februar	NA	NA	Hyrene$Herine	sancti,sancte$vidue	
Irenei (Herenei, Hirenei) et Abundi (Habundi)	2573	26/August	14/Februar	NA	NA	Herenei$Hierenei$Hirenei	martiris,martirum	
Irenei	2574	31/März	14/Februar	NA	NA	Herenei$Hierenei$Hirenei	martiris,martirum$episcopi,episcoporum	
Irenei (Hyrenei) Lugdunen	2575	28/Juni	14/Februar	NA	NA	Herenei$Hierenei$Hirenei	martiris,martirum$episcopi,episcoporum$sociorum,sociis	
Irenei (2)	2576	3/Juli	14/Februar	NA	NA	Herenei$Hierenei$Hirenei	diaconi$martiris,martirum	
Irenei (3)	2577	15/December	14/Februar	NA	NA	Herenei$Hierenei$Hirenei	martiris,martirum$sociorum,sociis	
Irmgardis	2578	4/September	NA	saec. XI. ex.	[Köln, Süchtelen] A.S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Yrmine Treveren	2579	24/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Innundi	2580	28/Januar	NA	NA	NA	NA	confessoris	
Isaac	2581	11/April	NA	NA	NA	NA	monachi$confessoris	
Isaac Corduben	2582	3/Juni	14/Februar	NA	NA	Quinque fratrum Polonorum	monachi	
Isabelle (Elisabeth) sororis Ludovici regis fund. Longi Campi	2583	31/August	12/September$22/Februar	1270	[Paris, Longchamps] A.S. (D. auch  Februar 22  und  September 12 ) .	NA	monachi$sancti,sancte	
Isarni (Ysarni) Victoris Massilien	2584	24/September	NA	1048	[Marseille] A.S.	NA	abbatis$sancti,sancte	
Iseri Gabalitani	2585	4/December	NA	NA	NA	NA	episcopi,episcoporum	
Isernini (Seznii)	2586	19/September	14/Februar	NA	NA	Seznii$Sernini	confessoris	
Isfridi Raceburgen. ord. Premonstr	2587	15/Juni	3/Juli	1204	[Ratzeburg] A.S., G., D.$Juli 3 :  [Prämonstratenser Spaniens] D.	NA	episcopi,episcoporum$beati,beate	
Isicii	2588	1/Juli	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Isidore et Neophyte	2589	17/April	14/Februar	NA	NA	Neophyte v.	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Isidori Alexandrini	2590	15/Januar	NA	NA	NA	NA	presbyteri$confessoris	
Isidori Hispalen	2591	4/April	NA	NA	NA	NA	archiepiscopi$confessoris	
Isidori militis	2592	8/Mai	NA	NA	NA	NA	NA	
Isidori (in insula Chio)	2593	15/Mai	NA	NA	NA	NA	martiris,martirum	
Isidori agricole	2594	10/Mai	15/Mai$30/November$8/September	1130	[Madrid, Patron der Stadt] D. (A.S.:  Mai 15 ) .$Obitus  November 30 :  (Madrid) D.$Vgl. Marie de Capetia ( September 8 ) .	NA	confessoris	
Isidori de Bologna	2595	18/September	NA	NA	NA	NA	episcopi,episcoporum	
Ismidonis Diensis	2596	28/September	NA	1120	[Die] A.S.	NA	episcopi,episcoporum	
Ismii et Ismidonis (saec. XI.)	2597	29/October	NA	NA	NA	NA	eremite	
Israel can. Doraten	2598	22/December	13/September	1014	[Limoges] D. (M:  September 13 ) .	NA	beati,beate	
Ithamari Roffen	2599	10/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Iterii Nivernen	2600	25/Juni	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Itisberge (Idaberge)	2601	21/Mai	14/Februar	NA	NA	Idaberge$Ide	virginis,virginum_or_(vor_Namen)_venerabilis	
Jubini	2602	9/März	14/Februar	NA	NA	Juvini	episcopi,episcoporum$confessoris	
Jucunde	2603	25/November	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Jucundi (Secundi et Quirini)	2604	9/Januar	14/Februar	NA	NA	Jocundi, Jocondi	martiris,martirum	
Jucundi Bononien	2605	14/November	14/Februar	NA	NA	Jocundi, Jocondi	episcopi,episcoporum$confessoris	
Jucundi Augustan	2606	30/December	14/Februar	NA	NA	Jocundi, Jocondi	episcopi,episcoporum	
Judite	2607	6/Mai	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Juliane	2608	16/Februar	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Juliane (2)	2609	16/Juni	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Juliane (3)	2610	10/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Juliane matrone	2611	13/Februar	NA	NA	NA	NA	NA	
Juliane priorisse Montis Cornelii, promotricis festi corp. Christi	2612	5/April	NA	1258	[Lüttich, Fosse] A.S.	NA	beati,beate	
Juliane de Falconeriis tertii ord. serv. Marie	2613	19/Juni	NA	1341	[Florenz] A.S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Juliane et Sempronie	2614	27/Juli	14/Februar	NA	NA	Sempronie	martiris,martirum	
Juliane Blasii de Cateldo ord. Bened	2615	1/September	NA	1262	[Venedig] A.S.	NA	abbatis$sancti,sancte$beati,beate	
Juliane Pauliacen	2616	11/October	NA	NA	NA	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Juliane de Busto Arsitio	2617	23/October	15/August	1501	[Mailand, Varese] A.S. (D.:  August 15 ) .	NA	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Juliani et Basilisse	2618	9/Januar	14/Februar	NA	NA	Basilisse	martiris,martirum	
Juliani	2619	11/Januar	NA	NA	NA	NA	presbyteri	
Juliani Cenomanen	2620	27/Januar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Juliani de bono albergo (hospitatoris)	2621	29/Januar	NA	NA	NA	NA	NA	
Juliani (Alexandrini) non	2622	27/Februar	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Juliani Toletani	2623	8/März	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Juliani (levite)	2624	22/Juni	NA	NA	NA	NA	martiris,martirum$confessoris	
Juliani (2)	2625	28/August	NA	NA	NA	NA	martiris,martirum	
Juliani (3)	2626	2/December	NA	NA	NA	NA	martiris,martirum	
Juliani (4)	2627	27/Januar	NA	NA	NA	NA	martiris,martirum	
Juliani Conchen	2628	28/Januar	NA	1207	[Cuenca] A.S.	NA	episcopi,episcoporum	
Juliani (5)	2629	3/Februar	NA	NA	NA	NA	martiris,martirum	
Juliani Urii	2630	17/März	NA	NA	NA	NA	beati,beate	
Juliani ord. fratr. min	2631	8/April	NA	NA	NA	NA	confessoris$beati,beate	
Juliani Viennen	2632	22/April	NA	NA	NA	NA	episcopi,episcoporum	
Juliani (6)	2633	12/August	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Juliani Lascuren	2634	21/August	NA	NA	NA	NA	episcopi,episcoporum	
Juliani Lande Pompeji	2635	12/October	NA	NA	NA	NA	episcopi,episcoporum	
Juliani Cesarelli ord. min	2636	4/November	14/Februar	vor 1367	[Pola, Valle] A.S.	Petri, Juliani et soc.$Julii, Juliani et Vincentii	beati,beate	
Julie tertii ord. August	2637	25/Februar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte$beati,beate	
Julie	2638	16/April	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Julie in Corsica	2639	22/Mai	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Julie, Claudii	2640	21/Juli	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Julii (et Juliani )	2641	31/Januar	NA	NA	NA	NA	diaconi$presbyteri$confessoris	
Julii (I.)	2642	12/April	NA	NA	NA	NA	pape$confessoris	
Julii	2643	27/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Julii et al	2644	5/December	NA	NA	NA	NA	martiris,martirum	
Julii , Roti	2645	4/März	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum$sociorum,sociis	
Julii (2)	2646	1/Juli	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Julii senatoris	2647	19/August	NA	NA	NA	NA	martiris,martirum	
Julii, Juliani et Vincentii	2648	21/August	NA	NA	NA	NA	martiris,martirum	
Juniani anachor	2649	16/October	NA	NA	NA	NA	confessoris	
Juniani Mariacen	2650	13/August	NA	NA	NA	NA	abbatis	
Juste et Rufine Hispali	2651	17/Juli	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Juste matrone	2652	4/August	NA	NA	NA	NA	NA	
Juste, Justine et Heredine (Henedine)	2653	14/Mai	14/Februar	NA	NA	Henedine	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Juste	2654	1/August	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Justi et Clementis	2655	5/Juni	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum$episcopi,episcoporum$confessoris	
Justi Treveren. (Bituricen.)	2656	14/Juli	14/Februar	NA	NA	Rufini et Justi$Justini	presbyteri$confessoris	
Justi	2657	4/August	14/Februar	NA	NA	Rufini et Justi$Justini	episcopi,episcoporum	
Justi et Pastoris	2658	6/August	14/Februar	NA	NA	Pastoris$Rufini et Justi$Justini	martiris,martirum	
Justi (Justini) Lugdunen	2659	2/September	14/Februar	NA	NA	Rufini et Justi$Justini	episcopi,episcoporum$confessoris	
Justi et Arthemii (et Honeste)	2660	17/October	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum	
Justi (2)	2661	18/October	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum	
Justi de Claromonte	2662	16/Februar	14/Februar	NA	NA	Rufini et Justi$Justini	eremite$beati,beate	
Justi Viennen	2663	6/Mai	14/Februar	NA	NA	Rufini et Justi$Justini	episcopi,episcoporum	
Justi Urgellen	2664	28/Mai	14/Februar	NA	NA	Rufini et Justi$Justini	episcopi,episcoporum	
Justi (3)	2665	7/Juli	14/Februar	NA	NA	Rufini et Justi$Justini	NA	
Justi (4)	2666	25/August	14/Februar	NA	NA	Rufini et Justi$Justini	NA	
Justi, Orontii et Fortunati	2667	26/August	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum	
Justi, Flaviani	2668	18/October	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum$sociorum,sociis	
Justi S. Allyrii	2669	21/October	14/Februar	NA	NA	Rufini et Justi$Justini	archidiaconi	
Justi (5)	2670	27/October	14/Februar	NA	NA	Rufini et Justi$Justini	presbyteri$confessoris	
Justi (6)	2671	2/November	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum	
Justi Cantuarien	2672	10/November	14/Februar	NA	NA	Rufini et Justi$Justini	episcopi,episcoporum	
Justi (7)	2673	26/November	14/Februar	NA	NA	Rufini et Justi$Justini	confessoris	
Justiani (Justiniani) Vercellen	2674	21/März	14/Februar	NA	NA	Rufini et Justi$Justini	episcopi,episcoporum	
Justine	2675	16/Juni	14/Februar	NA	NA	Rufini et Justi$Justini	virginis,virginum_or_(vor_Namen)_venerabilis	
Justine (2)	2676	26/Sept	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Justine (3)	2677	7/October	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Justine recluse	2678	12/März	14/Februar	1319	[Arezzo] A.S.	Rufini et Justi$Justini	virginis,virginum_or_(vor_Namen)_venerabilis	
Justine et Zenonis	2679	13/Juli	14/Februar	NA	NA	Cypriani et Justine$Zenonis$Juste, Justine et Heredine$Rufini et Justi$Justini	martiris,martirum	
Justini	2680	4/August	14/Februar	NA	NA	Rufini et Justi$Justini	presbyteri$confessoris$martiris,martirum	
Justini (2)	2681	28/Februar	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum	
Justini (3)	2682	1/Juni	14/Februar	NA	NA	Rufini et Justi$Justini	presbyteri$martiris,martirum	
Justini et Statei (Stactei)	2683	18/Juli	14/Februar	NA	NA	Statei$Stactei$Rufini et Justi$Justini	martiris,martirum	
Justini (4)	2684	17/September	14/Februar	NA	NA	Rufini et Justi$Justini	presbyteri$martiris,martirum	
Justini Teatini	2685	1/Januar	14/Februar	NA	NA	Rufini et Justi$Justini	episcopi,episcoporum	
Justini (philosophi)	2686	13/April	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum	
Justini (5)	2687	1/Mai	14/Februar	NA	NA	Rufini et Justi$Justini	presbyteri$confessoris	
Justini (6)	2688	1/September	14/Februar	NA	NA	Rufini et Justi$Justini	episcopi,episcoporum	
Justini Amiternen	2689	31/December	14/Februar	NA	NA	Rufini et Justi$Justini	presbyteri$martiris,martirum	
Justiniani	2690	16/Juli	14/Februar	NA	NA	Rufini et Justi$Justini	confessoris	
Justiniani (2)	2691	23/August	14/Februar	NA	NA	Rufini et Justi$Justini	martiris,martirum$eremite	
Jutte (Ivette) recluse	2692	13/Januar	NA	1328	[Lüttich, Huy] A.S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Jutte	2693	5/Mai	NA	1260	[Culmsee] A.S.	NA	vidue	
Jutte recluse	2694	22/December	14/Februar	1136	[Mainz, Disibodenberg] D.	v. Ivette	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Juvati non	2695	21/October	NA	NA	NA	NA	martiris,martirum$pontificis	
Juvenalis ( Narnien. )	2696	7/Mai	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum$confessoris	
Juveniani	2697	13/Juli	NA	NA	NA	NA	confessoris	
Juventii Galliam translati (Juventii )	2698	1/Juni	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Juventini Tadine	2699	28/August	NA	NA	NA	NA	archidiaconi	
Ivani (Hostimil)	2700	25/Juni	14/Februar	NA	NA	Hostimil	solitarii	
Ivani de Provincia institutoris ord. fratr. misericordie	2701	8/October	14/Februar	1653	[Paris] D.	Hostimil	presbyteri$virginis,virginum_or_(vor_Namen)_venerabilis	
Ivii (Yvii) Wiltonien	2702	6/October	NA	NA	NA	NA	diaconi	
Ivonis Trecorien. tertii ord. Franc, (advocati pauperum)	2703	19/Mai	27/October$20/Mai$18/Mai$10/Juni	1303, canon. 1347	Brandenburg, *Erfurt, Halberstadt, Halle, Havelberg, Konstanz, Mainz, Ratzeburg, Worms. - Kjöbenhavn, Roeskilde. - Mans, Nevers, Paris, Senlis, [Treguier] D.- Tarassona. - Cistercienser, Cluniacenser, Franciscaner.$Mai 18 :  Gnesen.$Mai 20 :  Hamburg.$Translatio  Juni 10 :  [Ely, S. Ives] D. (als ep.), London (Westminster).$Translatio  October 27 :  Apt, [Treguier] D.	NA	presbyteri$confessoris$sancti,sancte	
Ivonis Maioci Redonen. ord. Domin	2704	20/September	NA	1541	[Rennes] D.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum$sancti,sancte	
Yvonis Carnoten	2705	23/December	20/Mai	1115	[Beauvais] D., [Chartres] G., D. (A.S.:  Mai 20 ) .	NA	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Lactantiani	2706	16/April	NA	NA	NA	NA	martiris,martirum	
Lactini (Lacteani) Cluanferten	2707	19/März	NA	NA	NA	NA	abbatis	
Ladislai regis cf	2708	27/Juni	4/Juli$29/Juli$30/Juli	1095, can. 1198	Gnesen, Krakau. - *Agram, *Fünfkirchen, *Gran. - *Domini ultramontani, Dominicaner, *Pauliner.$Octava  Juli 4 :  Agram.$Depositio  Juli 29 :  *Fünfkirchen, *Gran. - Domini ultramontani, Pauliner.$Depos.  Juli 30 :  *Agram.	NA	NA	
Ladislai Gielnovii ord. fr. min	2709	4/Mai	NA	1505	[Warschau) A.S.	NA	beati,beate	
Laidgenni Cluanferten	2710	12/Januar	NA	NA	NA	NA	monachi	
Lamani	2711	23/November	NA	NA	NA	NA	martiris,martirum	
Lamberti (Leodien.) (Landeberti, Lamperti)	2712	17/September	14/Februar	NA	NA	Landeberti	martiris,martirum$episcopi,episcoporum	
Lamberti (Lamperti) Frising	2713	19/September	14/Februar	NA	NA	Landeberti	episcopi,episcoporum	
Lamberti	2714	14/December	14/Februar	NA	NA	Landeberti	episcopi,episcoporum	
Lamberti Lugdunen	2715	14/April	14/Februar	NA	NA	Landeberti	episcopi,episcoporum	
Lamberti agricole	2716	16/April	14/Februar	NA	NA	Landeberti	martiris,martirum	
Lamberti Vencien	2717	26/Mai	14/Februar$26/Juni	1154	[Vence] A.S. (D. auch  Juni 26 ) .	Landeberti	episcopi,episcoporum	
Landelini Lobbien	2718	15/Juni	NA	NA	NA	NA	abbatis	
Landelini	2719	22/September	NA	NA	NA	NA	martiris,martirum	
Landelini (2)	2720	28/November	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Landeoli Bigorren	2721	31/Januar	NA	NA	NA	NA	episcopi,episcoporum$beati,beate	
Landerici Parisien	2722	10/Juni	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Landerici Sonegien. et Altmonten	2723	17/April	NA	NA	NA	NA	abbatis	
Landerici Sagien	2724	16/Juli	NA	NA	NA	NA	episcopi,episcoporum$beati,beate	
Landi	2725	5/Mai	NA	NA	NA	NA	martiris,martirum	
Landoaldi	2726	19/März	NA	NA	NA	NA	presbyteri	
Macaldi (Macallei)	2727	25/April	NA	NA	NA	NA	episcopi,episcoporum	
Machani	2728	28/September	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Macharii	2729	15/Januar	NA	NA	NA	NA	abbatis$confessoris	
Macharii (2)	2730	23/Januar	NA	NA	NA	NA	martiris,martirum$confessoris	
Macarii	2731	28/Februar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Macharii et Perpetua	2732	8/April	NA	NA	NA	NA	episcopi,episcoporum	
Macharii (3)	2733	9/Mai	NA	NA	NA	NA	abbatis	
Macharii (4)	2734	12/November	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Macarii, Rufini et Justi	2735	12/Februar	NA	NA	NA	NA	martiris,martirum	
Macarii Antiocheni	2736	10/April	NA	NA	NA	NA	episcopi,episcoporum	
Macharii Burdegalen	2737	4/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Macarii et Megetii	2738	16/Juli	NA	NA	NA	NA	martiris,martirum	
Maccalini Walciodoren	2739	21/Januar	NA	NA	NA	NA	abbatis	
Maccartini Clochoren	2740	15/August	NA	NA	NA	NA	episcopi,episcoporum	
Macduach	2741	27/October	NA	NA	NA	NA	solitarii	
Macedonis	2742	13/März	NA	NA	NA	NA	presbyteri$sociorum,sociis$martiris,martirum	
Macniscii (Aengus Mac Nisa) Conneren	2743	3/Sept	NA	NA	NA	NA	episcopi,episcoporum	
Macnisei Cluanmicnoisien	2744	13/Juli	NA	NA	NA	NA	abbatis	
Macolde religiose ord. Ben	2745	15/März	NA	ca. 1280	[Asti] D.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte$beati,beate	
Macorati, Peregrini et Viventiani	2746	4/August	14/Februar	NA	NA	Viventiani	martiris,martirum	
Machre	2747	2/März	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Mactafledis Romarici Montis	2748	13/März	NA	NA	NA	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Macuti (Maclovii, Maculfi) Alethen	2749	15/November	14/Februar	NA	NA	Maclovii	episcopi,episcoporum$confessoris	
Madalvei (Magdalvei) Virdunen	2750	4/October	14/Februar	NA	NA	Magdalvei	episcopi,episcoporum	
Madelfridi	2751	4/October	NA	NA	NA	NA	episcopi,episcoporum	
Madelgarii	2752	9/April	NA	NA	NA	NA	monachi	
Madelgisili	2753	30/Mai	14/Februar	NA	NA	Mandelgisili	confessoris$eremite	
Mafalde regine ord. Cisterc	2754	2/Mai	NA	1252	[Coimbra] A.S.	NA	beati,beate	
Magdalene Albrice Brunaten. ord. August	2755	13/Mai	NA	1465	[Como] A.S.	NA	abbatis$sancti,sancte$eremite$beati,beate	
Magdalene de Cys, institutricis Pastorinarum	2756	16/Juni	NA	1692	[Paris] D.	NA	beati,beate	
