name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Agritii Treviren	147	13/Januar	NA	NA	NA	NA	archiepiscopi	
Agritii Senonen	148	13/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Aiberti ord. Ben	149	7/April	NA	NA	NA	NA	presbyteri$monachi$sancti,sancte	
Aycardi (Aycadri) Gemeticen	150	15/September	NA	NA	NA	NA	abbatis	
Aidani Lindisfarnen	151	31/August	14/Februar	NA	NA	Edani$Maidoci	episcopi,episcoporum$confessoris	
Aidani (Medoci) Fernen	152	31/Januar	14/Februar	NA	NA	Edani$Maidoci	episcopi,episcoporum	
Aidani	153	2/November	14/Februar	NA	NA	Edani$Maidoci	abbatis	
Aidi Kildaren	154	10/November	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Aye comitisse	155	18/April	NA	NA	NA	NA	NA	
Aygulphi ( Lerinen.)	156	3/September	NA	NA	NA	NA	abbatis$martiris,martirum	
Aigulphi (Agiulfi) Bituricen	157	22/Mai	NA	NA	NA	NA	archiepiscopi	
Ailbei (Albei) Emlien	158	12/September	14/Februar	NA	NA	Albei	episcopi,episcoporum$confessoris	
Aimonis Tullen	159	23/October	14/Februar	NA	NA	Amonis ep.	episcopi,episcoporum	
Airaldi Joh. Mauriani	160	11/März	2/Januar	ca. 1147	(s. Jean de Maurienne) M. (G.:  Januar 2 ) .	NA	episcopi,episcoporum$sancti,sancte	
Alani doctoris conversi ord. Cisterc	161	16/Juli	NA	NA	NA	NA	NA	
Alani	162	25/November	NA	NA	NA	NA	abbatis	
Alani de Gurte-lata	163	27/December	NA	NA	NA	NA	confessoris	
Alarici rnon. ord. Ben	164	29/September	NA	NA	NA	NA	sancti,sancte$beati,beate	
Alarini Rambardi Alben	165	21/Juli	20/Juli	1456	[Alba] D. (G.:  Juli 20 ) .	NA	episcopi,episcoporum$beati,beate	
Albani (Moguntie)	166	21/Juni	14/Februar	NA	NA	Albini	martiris,martirum	
Albani	167	19/März	14/Februar	NA	NA	Albini	martiris,martirum	
Alberici	168	2/Januar	NA	NA	NA	NA	NA	
Alberici Cistercien	169	26/Januar	NA	1101	Cistercienser) A. S,	NA	abbatis$beati,beate	
Alberici (2)	170	29/August	NA	NA	NA	NA	solitarii	
Alberici Stabulen	171	28/October	NA	NA	NA	NA	abbatis	
Alberici Ultrajecten	172	14/November	NA	NA	NA	NA	episcopi,episcoporum	
Alberti (Siculi, Drepanen.) ord. Carm	173	7/August	NA	1306 Messane	*Carmeliter,	NA	confessoris	
Alberti Hierosol	174	8/April	14/September	1214	[Vercelli] A. S. - Carmeliter (D.:  September 14 ) .	NA	episcopi,episcoporum$confessoris$beati,beate	
Alberti de Senis, ord. Camaldul	175	7/Januar	NA	ca. 1181	[Siena] A. S.	NA	eremite$beati,beate	
Alberti Landevennecen	176	1/Februar	NA	1129	[Quimper - Corentin] [Rennes] D.	NA	monachi	
Alberti Montis Corvini	177	5/April	NA	1037	[Montecorvino, Apulien) A. S.	NA	episcopi,episcoporum	
Alberti de Bergamo agricole	178	7/Mai	NA	1190	[Cremona] A. S.	NA	confessoris	
Alberti de Savena Bononien. ord. Vallumbros	179	20/Mai	NA	1245	[Bologna] A. S.	NA	abbatis$beati,beate	
Alberti Laude Pomp	180	4/Juli	NA	1173	[Lodi] A. S.	NA	episcopi,episcoporum	
Alberti ord. Cist	181	8/Juli	NA	NA	NA	NA	monachi	
Alberti Ferrarien	182	14/August	NA	1274	(Ferrara] A. S.	NA	episcopi,episcoporum$beati,beate	
Alberti de Sarzano	183	15/August	NA	NA	NA	NA	NA	
Alberti Besutii	184	3/September	NA	1359	[Mailand] A. S.	NA	eremite$beati,beate	
Alberti Pontidani ord. Cluniac	185	5/September	1/September	1095	[Bergamo] A. S. (D.:  September 1 .)	NA	abbatis$beati,beate	
Alberti et Gerardi ord. Bened	186	25/October	14/Februar	1350, 1367	[Sassoferrato] A. S.	Gerardi	monachi$sancti,sancte$beati,beate	
Alberti Magni Ratisbonen	187	15/November	NA	1280	(Dominicaner) A. S.	NA	episcopi,episcoporum$confessoris$beati,beate	
Alberti Leodien	188	23/November	24/November	1192	[Lüttich] G. (Potthast:  November 24 ) .	NA	episcopi,episcoporum	
Alberti Gambrunen	189	29/December	NA	NA	NA	NA	abbatis	
Albertini prioris Crucis Fontis Avellani	190	31/August	NA	1235 oder 1294	[Camaldulenser) A. S.	NA	sancti,sancte$eremite$beati,beate	
Albine	191	31/März	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Albini (Albani) Andegaven	192	1/März	14/Februar	NA	NA	Albani$Ingenuini et Albuini	episcopi,episcoporum$confessoris	
Albini	193	22/Juni	14/Februar	NA	NA	Albani$Ingenuini et Albuini	martiris,martirum	
Albini (2)	194	6/September	14/Februar	NA	NA	Albani$Ingenuini et Albuini	episcopi,episcoporum	
Albini Lugdunen	195	15/September	14/Februar	NA	NA	Albani$Ingenuini et Albuini	episcopi,episcoporum	
Albini (3)	196	23/October	14/Februar	NA	NA	Albani$Ingenuini et Albuini	martiris,martirum	
Albuini s, Ingenuini et Albuini (	197	5/Februar	NA	NA	NA	NA	NA	
Alche Tullen	198	28/September	NA	NA	NA	NA	episcopi,episcoporum	
Alcmundi filii Alfredi regis	199	19/März	NA	NA	NA	NA	martiris,martirum	
Alchmundi et Tilberti Hagulstaden. translatio	200	7/September	14/Februar	NA	NA	Tilberti	episcopi,episcoporum	
Alcuini Martini Turonen	201	19/Mai	NA	NA	NA	NA	abbatis$sancti,sancte$beati,beate	
Alde (Aldobrandesce) tertii ord. Humiliatorum	202	26/April	14/Februar	1309	[Siena] A. S.	Aldobrandesce	vidue$beati,beate	
Aldegrini rnon	203	4/Juni	14/Februar	NA	NA	Aldobrandesce	NA	
Aldegundis (Adelgundis)	204	30/Januar	14/Februar	NA	NA	Aldobrandesce$Adelgundis	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis$regis,regine	
Aldegundis	205	20/Juni	14/Februar	NA	NA	Aldobrandesce$Adelgundis	virginis,virginum_or_(vor_Namen)_venerabilis	
Aldelmi (Adelmi) Sherburn	206	25/Mai	14/Februar	NA	NA	Aldobrandesce$Adelmi	episcopi,episcoporum$confessoris	
